,id,premise,hypothesis,lang_abv,language,label,label_name
0,a937bd90a8,dare rise occasion like raskolnikov reject petty rules govern lesser men,would rise up defeaat all evil lords town,en,English,1,neutral
1,0abb9434d5,he married dona filipa moniz perestrelo daughter porto santo's first governor lived island a period fathering a son there,he landed island but soon left greener pastures before later dying alone childless,en,English,2,contradiction
2,bc52edfd5b,contrast between landscape central highlands south coast could more marked,there a beautiful artist who painted landscape central highlands,en,English,1,neutral
3,62344708db,i don't know i i do i can think all uh biblical things about too where what did say uh i can't think scripture render unto caesar's what caesar's so,i know this because i own a bible,en,English,1,neutral
4,03f3c9a92e,'so i assume he hacked into autopilot reprogrammed -',i'm assuming he hacked autopilot bring plane down,en,English,1,neutral
5,a0876ff215,returned live galilee village nazareth making pilgrimages jerusalem,would make pilgrimages jerusalem,en,English,0,entailment
6,7542af2ea2,an indian traveler described prosperous bujang valley settlement seat all felicities,a traveler said settlement prospering,en,English,0,entailment
7,fc297e527b,tig funds support technology evaluation project an initiative legal aid society cincinnati,tig funds used support technology evolution project a legal aid society cincinnati,en,English,0,entailment
8,c0ff6496b7,well i think i got agree there,i could agree,en,English,2,contradiction
9,8ff12cf6be,say man don't know 've been given up dead,were thought dead,en,English,0,entailment
10,34edd95879,rather kids today only little bundles joy but also perhaps ultimate symbols worldly success status,kids today bundles joy symbols failure,en,English,2,contradiction
11,1c29d37fa9,this provides insight into important japanese concept katachi form rough equivalent isn't what do 's way do,katachi means 's how do something 's what do,en,English,2,contradiction
12,bbe4991010,built site david's tower once largest most formidable structure castle,there nothing where david's tower used,en,English,2,contradiction
13,1837984941,this especially true menorca where cold winter winds limit season's length,menorca where cold winter winds limit season's length this especially true,en,English,0,entailment
14,f3992d7385,its scorecard included measures accuracy speed timeliness unit cost customer satisfaction employee development satisfaction,unit cost a measurement listed scorecard,en,English,2,contradiction
15,9d597f75c9,after death columbus jamaica became property his son diego who dispatched don juan esquivel island governor,jamaica inherited by columbus' son diego,en,English,0,entailment
16,88a21f689e,i think behooves slate its effort take over public-opinion industry make a thorough effort uncover truth behind this unnatural connection,slate has no interest public-opinion industry,en,English,2,contradiction
17,c0b51ad3f8,but might well see yourself if don't believe me note tuppence's well-known schoolboy writing ran follows dear julius 's always better things black white,tuppence didn't well-known handwriting wasn't recognizable her note,en,English,2,contradiction
18,cd049226e4,thus imbalance volume mail exchanged magnifies effect relatively higher rates these countries,there an imbalance ingoing vs outgoing mail,en,English,0,entailment
19,5fc6ec19d1,stock market however damage can get much worse,stock market can experience much worse damage,en,English,0,entailment
20,82b52c1626,true devotees talk shop at even more specialized groups such one northeastern weather neweather whose recent conversation topics included great blizzard freak snowstorm may,participation specialized groups leads more depth understanding,en,English,1,neutral
21,37daade8b2,exhibitions often held splendid entrance hall,exhibitions entrance hall usually most exciting,en,English,1,neutral
22,0df38f7de6,good sir jon began,jon addressed king,en,English,1,neutral
23,6df56ffb63,follow-up may hearing regarding irs restructuring act's goals irs funding gao--r june irs continued improvement management capability needed support long-term transformation,this irs hearing reconstruction act second hearing year,en,English,1,neutral
24,699cda3b5d,very simply,complicatedly,en,English,0,entailment
