,id,premise,hypothesis,lang_abv,language,label,label_name
0,f4891fa23f,кто она спросила его с неожиданным интересом,она спросила как это сделать так как с её точки зрения это казалось невозможным,ru,Russian,1,neutral
1,e8b38c6175,others zao tohoku a number resorts joshin-etsu kogen national park japan alps where there now splendid facilities thanks winter olympic games nagano,there a lot resorts national park,en,English,0,entailment
2,e0a29d673a,trying keep grass alive during a summer a piece ground big expensive,there no cost keeping grass alive summer time,en,English,2,contradiction
3,26222ec767,so i guess my experience just what we did so didn't really go through child care route were able home together,were able home rather than having worry about getting child care,en,English,0,entailment
4,d0cf40f417,journal put point succinctly any publicity good publicity,journal asked this a good political move,en,English,1,neutral
5,4ecd3d5876,tuy nhiên email của nhà phân tích phản ánh rằng cô đang bối rối một loạt các rào cản và rào cản pháp lý đối với việc chia sẻ thông tin và các quy tắc điều chỉnh việc sử dụng thông tin của các nhân viên tội phạm thu thập thông qua các kênh tình báo,nhà phân tích đã không rõ ràng về nhiều thứ,vi,Vietnamese,0,entailment
6,7ccb75ff9d,ω παρακαλώ υπήρξε πραγματική ανησυχία στη φωνή της,η φωνή της έδειξε την ανησυχία της,el,Greek,0,entailment
7,84780349be,yeah okay yeah those games fun watch watch those games,those games a lot fun,en,English,0,entailment
8,154fefdbde,ในฐานะสมาชิกของอินเนอร์เซอร์เคิลคุณจะได้รับสิทธิเลือกที่นั่งในช่วงการประชุม และการรับเชิญอันแสนพิเศษสำหรับรับประทานอาหารเย็น งานเลี้ยง และกิจกรรมกรรมต่างๆตลอดสัปดาห์,สมาชิกวงใน ไม่ได้รับอะไรเลย ในฐานะที่เป็นสมาชิกของกลุ่ม,th,Thai,2,contradiction
9,58d7fc95db,another white house murder mystery a chance bash genre,white house murder mystery has other works before this one,en,English,0,entailment
10,a4e7a8087a,kom ombo an unusual temple dedicated two gods,standard every way kom ombo a temple devoted several deities,en,English,2,contradiction
11,f7cb75d5f3,）增加其他交流方式的渗透,现在的交流通信占了通信量的。,zh,Chinese,1,neutral
12,1b435e21df,mckim kiasi cha hasira yake sio waliopotea tu bali kuwekwa tatu nyuma ya howard & amp cauldwell,mckim alifurahi sana kwa kumaliza wa kwanza,sw,Swahili,2,contradiction
13,5ea34047fd,addition dublin tourism has devised signposted three self-guided walking tours city which can follow using booklets provided,dublin's self-guided tours easy follow,en,English,1,neutral
14,17d5853bd5,khallad е предоставил втора версия а именно че и тримата са пътували заедно до карачи,khallad е казал че тримата са могли да пътуват заедно,bg,Bulgarian,0,entailment
15,0b5c6e1815,we look forward receiving comments from readers this paper,discourage people from making comments about paper,en,English,2,contradiction
16,e0c594667d,disney ceo eisner who's actually underrated a pop-culture maven he responsible happy days welcome back kotter insists abc's downturn cyclical will soon return life,eisner a big fan abc,en,English,1,neutral
17,adeffd299e,'s just like college too i think if a kid goes college can help them fine but i don't think should pay whole way,should pay whole way kid's college tuition,en,English,2,contradiction
18,ff2ef0e1b0,kill chickens,use a knife kill chickens,en,English,1,neutral
19,f6d48bb5a3,shows clearly enough my poor old friend had just found out she'd been made a fool,i relieved my friend feeling so well happy,en,English,2,contradiction
20,617f1dc5f2,data would presented required supplementary stewardship information accompanying consolidated financial statements federal government but individual reports its component units,data would included individual reports concerning constituent units federal government,en,English,2,contradiction
21,2818acda1a,statue beheaded several years ago by islanders who blame josephine her role slavery martinique,josephine responsible slavery martinique according locals,en,English,0,entailment
22,4f820e0dc1,an article explains al gore enlisted vietnam war out fealty his father distaste draft gore deplored inequity rich having serve,gore dodged draft,en,English,2,contradiction
23,147267c1a9,although uh 's uh we almost one day we painted house uh we painted we painted whole inside had all this dark trim we thought uh know we did one wall but other trim i'm trying think i think i think we left most because gets uh don't do newer houses now we don't uh mold everything white a new house everything white,we painted house over duration one day,en,English,0,entailment
24,9adaa4bd4f,die befugnis zur festlegung von kraftstoffsparstandards gemäß abschnitt wurde vom sekretär an den administrator der nhtsa delegiert,niemand hat die befugnis kraftstoffnormen vorzuschreiben,de,German,2,contradiction
25,5c3a484144,đối với các egu bị ảnh hưởng cho năm và mỗi năm sau đó quản trị viên sẽ phân bổ các khoản trợ cấp thủy ngân theo mục và tiến hành đấu giá các khoản phụ cấp thủy ngân theo mục theo các số liệu trong bảng a,hạn chế lượng thủy ngân trong hải sản,vi,Vietnamese,1,neutral
26,babeb595dd,wonder what youre going when grow up lawyer smith said,lawyer smith pointed out wanted know what would when grew up,en,English,0,entailment
27,8ae6eb46bf,ksm anaweza kuwa ameagiza binalishibh atume pesa kwa moussaoui ili asaidie kutayarisha moussaoui kama rubani mbadala mwenye uwezo wa jarrah,ksm aliiambia binalshibh cha kufanya kwa sababu alikuwa mkuu wa shirika zima,sw,Swahili,1,neutral
28,90a1147998,his voice even calm a hint rage,he at all concerned about what happening,en,English,1,neutral
29,0573874d75,започвам живота с дарение от сто круши и хиляда ябълки,моят баща ми даде плода,bg,Bulgarian,1,neutral
