,id,premise,hypothesis,lang_abv,language,label,label_name
0,5b72532a0b,these issues we wrestle practice groups law firms she said,practice groups permitted work these issues,en,English,2,contradiction
1,3931fbe82a,des petites choses comme celles-là font une différence énorme dans ce que j'essaye faire,j'essayais d'accomplir quelque chose,fr,French,0,entailment
2,86aaa48b45,ในการเล่นบทบาทสมมุติก็เช่นกัน โอกาสที่จะได้แสดงออกและได้เล่นหลายบทบาทไปพร้อมกัน ๆ อาจช่วยให้เด็กจับความคล้ายคลึงและความแตกต่างระหว่างผู้คนในด้านความปรารถนา ความเชื่อ และความรู้สึกได้,เด็กสามารถเห็นได้ว่าชาติพันธุ์แตกต่างกันอย่างไร,th,Thai,1,neutral
3,ed7d6a1e62,bir çiftlikte birisinin ağıla kapatılmış bu öküzleri kesmeliyiz dediğini duyabilirsiniz bu muhtemelen şu anlama gelir yüklenecek olanları ayırın,çiftlikte insanlar farklı terimler kullanırlar,tr,Turkish,0,entailment
4,5a0f4908a0,ریاست ہائے متحدہ امریکہ واپس آنے پر، ہج ایف بی آئی کے ایجنٹوں کے ذریعے ہوائی اڈے پر ملاقات کی، تحقیقات کی، اور اگلے دن وفاقی گرین جوری سے پہلے اسامہ بن لادن کی تحقیقات سے ملاقات کی,ہیگ کی تفتیش ایف بی آئی اہلکاروں کی طرف سے کی گئی,ur,Urdu,0,entailment
5,fdcd1bd867,from cockpit country st ann's bay,from st ann's bay cockpit country,en,English,2,contradiction
6,8c10229663,через каждые сто градусов пятна краски меняют свой цвет она может быть красной и изменить цвет на синий,краска изменяется в соответствии с цветом,ru,Russian,0,entailment
7,2bf4b86d4f,es fallen zwanzig prozent zinsen an,könnte das interesse mehr als sein,de,German,1,neutral
8,4c25aa4c06,我希望你的领主能够最终开始认识到，向这样的人授予国王委员会的愚蠢行为反对我的所有建议。,大人刚刚接受了我的意见，并且采取了相应的行动。,zh,Chinese,2,contradiction
9,6d63ae6397,watoto wangegonga milango ya majirani zao na,watoto wangeweza kwenda kwa majirani zao nyumba,sw,Swahili,0,entailment
10,dd4f0d9f25,if people only knew how fatally easy poison some one by mistake wouldn't joke about,many people poisoned someone by mistake,en,English,1,neutral
11,4b0eca3ccb,life prison then he's available parole if 's if 's life a day then he's eligible parole so what know let's quit bsing system,system corrupt because he won't able get parole if 's life a day,en,English,1,neutral
12,ad5a79456e,increased saving by current generations would expand nation's capital stock allowing future generations better afford nation's retirement costs while also enjoying higher standards living,current generations' increased saving would expand nation's capital stock allowing future generations more easily afford nation's retirement costs while also enjoying higher standards living,en,English,0,entailment
13,a7b0b9498c,'s just beginning,a great journey about begin,en,English,1,neutral
14,17c1f14619,britain's best-selling tabloid sun announced a front-page world exclusive friday texan model jerry hall has started divorce proceedings against aging rock star mick jagger at high court london,sun makes millions every year off fake news,en,English,1,neutral
15,f5f4dc48c1,savonarola burned florence,florence became savonarola's new home,en,English,2,contradiction
16,8b8a91643a,la dificultad aumenta a medida que la necesidad modificaciones la caldera que se han tomar para adaptar el scr a la instalación también aumenta,la dificultad depende las modificaciones,es,Spanish,0,entailment
17,aa6feee06e,争端，管理现在都指向做的这些食物券，当然也可以转向基本福利 —— tanf。,政府还没有提到任何有关食品券或是福利的事。,zh,Chinese,2,contradiction
18,8540c11e37,die sozialversicherung enthält keine etablierten programme ausschließlich oder vor allem für bundesangestellte solche wie rente und andere altersvorsorgen,sozialversicherungen beinhalten keinen plan nur für arbeitnehmer des bundes,de,German,0,entailment
19,8289cdfc7d,therefore number boilermakers may actually grow more quickly than what assumed,number boil makers will decrease drastically expected,en,English,2,contradiction
20,43b978ef75,diğerleri tüketiciyi yeterince mutlu etmiyor,diğerleri yeterlidir,tr,Turkish,2,contradiction
21,80001fec89,long assad lives he can manage these troubles keep an agreement israel,long assad doesn't die he will able take care troubles,en,English,0,entailment
22,097b4dfe2a,walk through,need pass through foot,en,English,0,entailment
23,12840a5edd,电视晚餐带来了糟糕的污点。,电视上的人只吃早餐和午餐 。,zh,Chinese,2,contradiction
24,714a367262,die unfähigkeit zur kommunikation war ein kritisches element an den absturzstellen des world trade centers des pentagon und des somerset county pennsylvania wo mehrere behörden und mehrere gerichtsbarkeiten reagierten,es war schwierig für die leute im world trade center zu kommunizieren,de,German,0,entailment
